date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:21:49	48290/48290	---M-Z	200	added ('OK')	text/html	etag:%22a:d3026b0d76884ec8af16a38d46f74ac1%22	http://jiwar.ubpages.com/jiwar-1/	C:/My%20Web%20Sites/jiwar/jiwar.ubpages.com/jiwar-1/index.html	(from )
05:21:50	58/58	---MCZ	200	added ('OK')	text/plain	date:Mon,%2012%20Aug%202024%2001:21:50%20GMT	http://jiwar.ubpages.com/robots.txt		(from )
05:23:03	493289/493289	---M--	200	added ('OK')	image/png	etag:%22e2894e0961b93987f88c0a92f5cdd184%22	http://d9hhrg4mnvzow.cloudfront.net/jiwar.ubpages.com/jiwar-1/cda1ed25-radius-bg-2_11hc12k000000000000028.png	C:/My%20Web%20Sites/jiwar/d9hhrg4mnvzow.cloudfront.net/jiwar.ubpages.com/jiwar-1/cda1ed25-radius-bg-2_11hc12k000000000000028.png	(from http://jiwar.ubpages.com/jiwar-1/)
05:23:23	112469/112469	---M--	200	added ('OK')	image/png	etag:%22b918084ff50e8ea79d035d7256111c3b%22	http://d9hhrg4mnvzow.cloudfront.net/jiwar.ubpages.com/jiwar-1/cda1ed25-radius-bg-2_111k0r60go0r60ag000028.png	C:/My%20Web%20Sites/jiwar/d9hhrg4mnvzow.cloudfront.net/jiwar.ubpages.com/jiwar-1/cda1ed25-radius-bg-2_111k0r60go0r60ag000028.png	(from http://jiwar.ubpages.com/jiwar-1/)
05:23:26	586476/586476	---M--	200	added ('OK')	image/png	etag:%220153f12c8387fd6d50705abdf117cc3f%22	http://d9hhrg4mnvzow.cloudfront.net/jiwar.ubpages.com/jiwar-1/d31eee61-radius-bg-1_11hc140000000000000028.png	C:/My%20Web%20Sites/jiwar/d9hhrg4mnvzow.cloudfront.net/jiwar.ubpages.com/jiwar-1/d31eee61-radius-bg-1_11hc140000000000000028.png	(from http://jiwar.ubpages.com/jiwar-1/)
05:23:36	73537/73537	---M--	200	added ('OK')	image/png	etag:%2209312fba38c821f61373522178e8a4ac%22	http://d9hhrg4mnvzow.cloudfront.net/jiwar.ubpages.com/jiwar-1/d31eee61-radius-bg-1_10h70cw0go0cw009000028.png	C:/My%20Web%20Sites/jiwar/d9hhrg4mnvzow.cloudfront.net/jiwar.ubpages.com/jiwar-1/d31eee61-radius-bg-1_10h70cw0go0cw009000028.png	(from http://jiwar.ubpages.com/jiwar-1/)
05:23:53	750598/750598	---M--	200	added ('OK')	image/png	etag:%22534e4832a3b28822a6f3be21bff1cb84%22	http://d9hhrg4mnvzow.cloudfront.net/jiwar.ubpages.com/jiwar-1/cda1ed25-radius-bg-2_1000000000000000000028.png	C:/My%20Web%20Sites/jiwar/d9hhrg4mnvzow.cloudfront.net/jiwar.ubpages.com/jiwar-1/cda1ed25-radius-bg-2_1000000000000000000028.png	(from http://jiwar.ubpages.com/jiwar-1/)
05:24:11	857897/857897	---M--	200	added ('OK')	image/png	etag:%22c7e5c3a1e470e14eb1983fb6a66759d4%22	http://d9hhrg4mnvzow.cloudfront.net/jiwar.ubpages.com/jiwar-1/d31eee61-radius-bg-1_1000000000000000000028.png	C:/My%20Web%20Sites/jiwar/d9hhrg4mnvzow.cloudfront.net/jiwar.ubpages.com/jiwar-1/d31eee61-radius-bg-1_1000000000000000000028.png	(from http://jiwar.ubpages.com/jiwar-1/)
05:24:13	15106/15106	---M-Z	200	added ('OK')	text/css	etag:%223b1a7b38a3984241c2be683ce77b9a78%22	http://builder-assets.unbounce.com/published-css/main-ebbfc5e.z.css	C:/My%20Web%20Sites/jiwar/builder-assets.unbounce.com/published-css/main-ebbfc5e.z.css	(from http://jiwar.ubpages.com/jiwar-1/)
05:24:13	47/47	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2012%20Aug%202024%2001:24:13%20GMT	http://jiwar.ubpages.com/assets/62b98db2-b687-48c5-ae98-114aa2429386/logo-white-no-bc.original.png?1723414533	C:/My%20Web%20Sites/jiwar/jiwar.ubpages.com/assets/62b98db2-b687-48c5-ae98-114aa2429386/logo-white-no-bc.original.abb04.delayed	(from http://jiwar.ubpages.com/jiwar-1/)
05:24:15	245539/245539	---M--	200	added ('OK')	image/png	etag:%2290a9e90fb3f5f630b5662f2ab90444fb%22	http://d9hhrg4mnvzow.cloudfront.net/jiwar.ubpages.com/jiwar-1/d31eee61-radius-bg-1_10yd0ps0xc0ps00i000028.png	C:/My%20Web%20Sites/jiwar/d9hhrg4mnvzow.cloudfront.net/jiwar.ubpages.com/jiwar-1/d31eee61-radius-bg-1_10yd0ps0xc0ps00i000028.png	(from http://jiwar.ubpages.com/jiwar-1/)
05:24:16	44662/44662	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a7eeb377929f3b60727095f859013d59%22	http://jiwar.ubpages.com/_ub/static/ts/e6c35f50fd3355ae56cc4292c3ae66e2e57ced28.js	C:/My%20Web%20Sites/jiwar/jiwar.ubpages.com/_ub/static/ts/e6c35f50fd3355ae56cc4292c3ae66e2e57ced28.js	(from http://jiwar.ubpages.com/jiwar-1/)
05:24:18	6931/6931	---M--	200	added ('OK')	image/png	etag:%22ce1d08695b66312cf7d63cd579d668f5%22	http://d9hhrg4mnvzow.cloudfront.net/jiwar.ubpages.com/jiwar-1/28f687b6-logo-white-no-bc_107l07o000000000000028.png	C:/My%20Web%20Sites/jiwar/d9hhrg4mnvzow.cloudfront.net/jiwar.ubpages.com/jiwar-1/28f687b6-logo-white-no-bc_107l07o000000000000028.png	(from http://jiwar.ubpages.com/jiwar-1/)
